ID,Nome,Marca,Expositor,Categoria,Valor,Ficha Técnica,Foto
79,ENCRENCA SPIN,ISCAS YARA,YARA ISCAS ARTIFICIAIS,Isca de Corpo Rígido,69.9,Isca tipo Spin com colher giratória. Fabricada em ABS de alta resistência. Disponível nos tamanhos 7cm / 17g e 9cm / 29g.,static/uploads/ENCRENCA.JPG
80,INVADER 110 MR,MARINE,MARINE,Isca de Corpo Rígido,55.0,"Minnow meia água Floating e Suspending. Profundidade de nado entre 0,8m e 2,0m. Equipada com 3 garatéias Sanken 4X.",static/uploads/INVADER.JPG
81,BELLY DANCER,MORO DECONTO/FUJI,DECONTO ISCAS ARTIFICIAIS,Isca de Corpo Rígido,79.9,Jerkbait compacta com ação atrativa. Equipada com split rings de inox e garatéias Hogan.,static/uploads/BELLY.JPG
82,ISCA HB 230,SAHARA,SAHARA,Isca de Corpo Rígido,27.0,"Isca artificial meia água, 12,8 cm e 30g. Disponível em 5 cores. Alto desempenho na pesca esportiva.",static/uploads/HB230.JPG
83,SLIDE ACTOR,GRUPO WAKOKU / FLÓRIDA MARINE,SHOUT,Isca para Água Salgada,140.0,Jumping Jig de corpo alongado e achatado. Formato assimétrico que permite afundamento rápido e movimentos amplos em ziguezague. Indicado para predadores como Olhetes e Olhos-de-boi.,static/uploads/SLIDE.JPG
84,FEED POPPER 150,GRUPO WAKOKU / FLÓRIDA MARINE,TACKLE HOUSE,Isca para Água Salgada,312.0,Popper diferenciado que produz barulho característico. Desenho da boca cria sons de estalo e rastros de bolhas. Ideal para locais de água agitada. Equipada com garatéias Owner.,static/uploads/POPPER.JPG
85,JACK EYE MAKI MAKI FS 417,GRUPO WAKOKU / FLÓRIDA MARINE,HAYABUSA,Isca para Água Salgada,120.0,"Metal jig versátil com colher de metal na garatéia, gerando vibração e brilho atrativo. Pode ser usado no arremesso e recolhimento ou na vertical.",static/uploads/MAKI.JPG
86,BANETT 160F,GRUPO WAKOKU / FLÓRIDA MARINE,IMA,Isca para Água Salgada,324.0,"Artificial tipo Pencil de 16 cm e 43g. Excelente para arremessos longos. Trabalha em ziguezague logo abaixo da superfície. Indicado para Olhetes, Olhos-de-boi e Atum.",static/uploads/BANETT.JPG
87,CIAN POPPER ROAR 200F,GRUPO WAKOKU / FLÓRIDA MARINE,JACKALL,Isca para Água Salgada,522.0,"Popper para espécies marinhas. Design moderno, fácil de trabalhar. Produz som intenso e rastro de bolhas. Alcance de longas distâncias devido ao formato traseiro mais pesado.",static/uploads/CIAN.JPG
88,VENNON,MARINE,MARINE,Isca para Água Salgada,55.0,"Isca de superfície Zara Floating, disponível nos tamanhos 90mm (15g) e 115mm (25g). Equipado com garatéias reforçadas, ideal para Anchova, Xaréu, Olhete e Robalo.",static/uploads/VENNON.JPG
89,POPAI ULTIMATE SERIES,MORO DECONTO/FUJI,DECONTO ISCAS ARTIFICIAIS,Isca para Água Salgada,113.8,"Popper robusto para pesca de grandes exemplares. Corpo em plástico ABS reforçado, garatéias Extreme 6X 1/0. Disponível em 9 e 11 cm.",static/uploads/POPAI.JPG
90,ISCA CHARUTINHO,ALLIGATOR,ALLIGATOR,Isca Soft,2.4,"Isca para pesca de Traíras e outros predadores. Nado em Zara na superfície, meia água e fundo. Tamanho 5,8 cm, peso 9g, disponível em mais de 100 cores.",static/uploads/CHARUTINHO.JPG
91,ISCA SOFT DROP MINNOW GREAT LAKES FINESSE,AQUABRAZIL,GREAT LAKES FINESSE,Isca Soft,88.9,"Isca soft com acabamento fosco e flutuabilidade neutra. Ideal para Black Bass e Traíras. Técnicas recomendadas: Drop Shot, Underspin Trailer, Moping, Spine Rig e Ned.",static/uploads/FINESSE.JPG
92,RV BUG,GRUPO WAKOKU / FLÓRIDA MARINE,JACKALL,Isca Soft,135.0,"Soft bait inovadora e sinking. Pernas vibratórias que aumentam a atratividade. Mede 3” (7,62 cm), recomendado para anzol Offset 3/0.",static/uploads/RV-BUG.JPG
93,SHINJI X9,GRUPO WAKOKU / FLÓRIDA MARINE,XBRAID,Linha,950.0,Linha multifilamento revolucionária de 9 fios com resistência extrema e alta sensibilidade. Estrutura W para maior uniformidade e resistência ao desgaste. Sistema de marcação a cada 1m.,static/uploads/SHINJI.JPG
94,LINHA MULTIFILAMENTO FUSION 8X 100M,HP MOTONÁUTICA,"HP PESCA, MOTO, NÁUTICA",Linha,39.9,Linha multifilamento X8 Fusion de alta resistência e suavidade. Tecnologia de tratamento ultrassônico para menor atrito e melhor lançamento.,static/uploads/8X100M.JPG
95,LINHA MULTIFILAMENTO TOURNAMENT X4,ISCAS YARA,YARA ISCAS ARTIFICIAIS,Linha,49.9,"Linha multifilamento de 4 fios feita em 100% polietileno. Alta resistência à tensão e abrasão. Elasticidade quase zero, indicada para locais com estrutura submersa.",static/uploads/X4.JPG
96,HAMMER BRAIDED FISHING LINE 4 FIOS,KASTKING,KASTKING,Linha,0.0,"Linha trançada 4X com tecnologia Diamond Braid, maior resistência e menor diâmetro. Tratamento Colorfast para evitar desbotamento. Superfície lisa para lançamentos mais longos.",static/uploads/HAMMER.JPG
97,MOLINETE DEVOTION,ALBATROZ,MARCA FORSEVEN (GRUPO ALBATROZ FISHING),Molinete,360.0,"Molinete com 4+1 rolamentos. Recolhimento: 4.7:1 (800) e 6.0:1 (3000/5000). Drag de 5kg (800), 6kg (3000), 8kg (5000). Carretel em alumínio.",static/uploads/DEVOTION.JPG
98,MOLINETE MEGAJAWS ELITE,KASTKING,KASTKING,Molinete,0.0,"Molinete MegaJaws Elite com engrenagem aeroespacial de alta resistência. Corpo em alumínio Uni-Frame, rotor de carbono. Ideal para pescadores profissionais e recreativos.",static/uploads/MEGAJAWS.JPG
99,HORIZON,MARINE,EUROSEA,Molinete,549.9,"Molinete com corpo em alumínio, rotor em grafite e pinhão em latão. 6+1 rolamentos, recolhimento 4.6:1, drag de 18kg, IPT de 110cm. Sistema de oscilação lenta.",static/uploads/HORIZON.JPG
100,TROVÃO,SAHARA,SAHARA,Molinete,150.0,"Molinete em alumínio, disponível em diversos tamanhos. 5+1 rolamentos, sistema balanceado e manopla em EVA.",static/uploads/TROVAO.JPG
101,MOTOR ELÉTRICO MINN KOTA INSTINCT RIPTIDE QUEST,AQUABRAZIL,MINN KOTA,Motores (Qualquer Tipo de Propulsão),57645.0,"Motor elétrico Minn Kota 90/115lbs (24-36V), haste de 87” (220 cm). Controle wireless, Bluetooth, Spot-Lock (âncora), compatível com sonares Humminbird.",static/uploads/RIPTIDE.JPG
102,MOTOR ELÉTRICO MINN KOTA ULTREX QUEST,AQUABRAZIL,MINN KOTA,Motores (Qualquer Tipo de Propulsão),45753.0,"Minn Kota Ultrex Quest 90/115lbs (24-36V), haste de 60” (152 cm). Controle remoto/pedal, transducer MSI (Mega Side Imaging), Spot-Lock, compatível com sonares Humminbird.",static/uploads/KOTA.JPG
103,MOTORES 30HP E 40HP TURBO JET,HIDEA,HIDEA MOTORES,Motores (Qualquer Tipo de Propulsão),27568.0,Modelos HDJ30FHS e HDJ40FHS. Motor 2 tempos com potência de 30HP (22.1 kW) e 40HP (29.4 kW). Rotações de 4500-5500 RPM. Sistema de ignição CDI e refrigeração à água. Disponível em partida manual e elétrica.,static/uploads/40HP.JPG
105,50 HP QUATRO TEMPOS COM MANCHE,MERCURY,MERCURY MARINE,Motores (Qualquer Tipo de Propulsão),45502.0,"Mercury FourStroke 50HP. Motor 4 cilindros (995cc), rabeta de 20 polegadas com relação de 1,83. Equipado com manche Mid Tiller, Power Trim, partida elétrica e controle de corrico.",static/uploads/MANCHE.JPG
107,350HP,YAMAHA,YAMAHA,Motores (Qualquer Tipo de Propulsão),227360.0,,static/uploads/350HP.JPG
108,CAIXA PLANO RANGE BAG X2 MEDIUM - 1712500V,AQUABRAZIL,PLANO,Tiro Esportivo,778.0,"Caixa Plano para tiro esportivo. Possui bolsa frontal para case de pistola 140300, tampa com alça para transporte, base rígida e bolso lateral para munição.",static/uploads/RANGE.JPG
109,CARABINA FXR P35X EVOLUTION,FXR,ARTEMIS,Tiro Esportivo,7500.0,"Carabina PCP calibre 5.5mm. Velocidade de 1000 FPS (305 m/s), energia de 46 joules, autonomia de 100 disparos. Coronha Bullpup, acionamento Side Lever, trilho Picatinny e válvula reguladora.",static/uploads/CARABINA.JPG
110,"CARABINA DE PRESSÃO PCP ROSSI BULLPUP R35 CAL. 5,5MM",ROSSI,ROSSI,Tiro Esportivo,5900.0,"Carabina PCP compacta e leve. Sistema de engatilhamento Side Lever, coronha em madeira natural, trilho Picatinny integrado, velocidade de 270 m/s (880 FPS) e reservatório de ar com 250cc.",static/uploads/BULLPUP.JPG
111,VARA SNOOK LIFE,ALBATROZ,ALBATROZ FISHING,Vara para Carretilha,395.42,"Vara em carbono IM10, modelo para carretilha com reel seat Skeleton. Passadores leves e resistentes, cabo revestido em EVA, ponteira antienrosco. Tamanhos: C631, ação rápida, 8-14lbs e 8-17lbs.",static/uploads/SNOOK-LIFE.JPG
112,VARA CARRETILHA ST. CROIX BLACK BASS,AQUABRAZIL,ST. CROIX RODS,Vara para Carretilha,1740.0,"Vara 6'8'' Medium Power, X-Fast Action, 6-20lbs. Blank de carbono SC III, passadores em óxido de alumínio. Tecnologias St. Croix IPC, FRS e Handcrafted.",static/uploads/CROIX-BLACK.JPG
113,VARA CARRETILHA ST. CROIX LEGEND ELITE 75TH ANNIVERSARY,AQUABRAZIL,ST. CROIX RODS,Vara para Carretilha,5180.0,"Vara 7' Medium Power, Fast Action, 10-17lbs. Blank de carbono SC V, passadores de titânio/silicon nitride. Tecnologias St. Croix IPC, ART, TET, FRS e Handcrafted.",static/uploads/CROIX-LEGEND.JPG
114,REVOLTAGE RV II-S68MH+ 14LB,GRUPO WAKOKU / FLÓRIDA MARINE,JACKALL,Vara para Carretilha,5532.0,"Vara para carretilha de alta performance. Blank de carbono Toray com tecnologia NanoAlloy. Passadores Fuji Série K com anel SIC, cabo de cortiça premium 4A.",static/uploads/REVOLTAGE.JPG
115,DAY´S 360 SÉRIE BRASIL 510M - 16LB,GRUPO WAKOKU / FLÓRIDA MARINE,MAJOR CRAFT,Vara para Carretilha,3702.0,Vara leve e potente feita com carbono Toray T1100G e tecnologia R360 Structure. Passadores Fuji SIC Titânio e cabo em EVA de alta densidade.,static/uploads/510M.JPG
116,REVOLTAGE C64ML-ST 12LB,GRUPO WAKOKU / FLÓRIDA MARINE,JACKALL,Vara para Carretilha,5532.0,"Vara desenvolvida para desempenho máximo com iscas artificiais. Blank de carbono Toray, passadores Fuji Série K e cabo de cortiça premium 4A.",static/uploads/C64ML.JPG
117,ASSEGAI CASTING,KASTKING,KASTKING,Vara para Carretilha,0.0,"Vara 6'4'' 17lbs. Blank Elite Carbon patenteado para potência, resistência e sensibilidade. Tecnologia Nano Resina para melhor desempenho.",static/uploads/ASSEGAI.JPG
118,LEGACY,MARINE,MARINE,Vara para Carretilha,819.0,"Blank em carbono tubular 40TON (MT4000). Cabo bipartido em EVA + carbono. Passadores Fuji Alconite KW, ponteira Fuji Alconite MN.",static/uploads/LEGACY.JPG
119,VARA CALIFÓRNIA,STRIKER,STRIKER SPORTFISHING,Vara para Carretilha,310.22,"Vara de carbono IM12, 6'0'' Medium/Heavy, ação rápida, passadores em óxido de alumínio. Flexível, resistente e leve para alta performance.",static/uploads/CALIFORNIA.JPG
120,VARA MOLINETE ST. CROIX MOJO BASS TRIGON,AQUABRAZIL,ST. CROIX RODS,Vara para Molinete,1662.0,"Vara 6'10'' Medium Light, X-Fast Action, 6-20lbs. Blank de carbono SC III, passadores em óxido de alumínio/aço inox. Design Trigon para maior conforto.",static/uploads/CROIX-MOJO.JPG
122,DAY´S 360 610L,GRUPO WAKOKU / FLÓRIDA MARINE,MAJOR CRAFT,Vara para Molinete,4032.0,Vara de alta sensibilidade com blank de carbono Toray T1100G. Processo R360 Structure para resistência e leveza. Passadores Fuji SIC Titânio e cabo em EVA.,static/uploads/610L.JPG
123,KESTREL FINESSE SPINNING,KASTKING,KASTKING,Vara para Molinete,0.0,"Kastking Kestrel Spin Finesse Spinning Rod, vara de 3 peças 6'8'' UL. Kastking Kestrel Spinning e Ice Fishing Reel 1000.",static/uploads/KESTREL.JPG
124,VENZA FUSION,MARINE,MARINE,Vara para Molinete,169.0,Blank em fibra de vidro tubular com ponteira sólida integrada. Cabo bipartido e inteiriço em EVA. Passadores em óxido de alumínio resistentes a multifilamentos.,static/uploads/FUSION.JPG
127,CHAPÉU MZ-171,ALBATROZ,ALBATROZ FISHING,Vestuário,107.0,"Material leve, transpirável e de secagem rápida. Fabricado em poliéster pongee com proteção UV. Inclui protetor de rosto, pescoço e nuca. Disponível nas cores rosa, chumbo e cinza.",static/uploads/MZ171.JPG
128,SAPATILHA AQURUN AZUL CLARO E VERDE ACQUA,AQURUN,AQURUN,Vestuário,159.9,"Sapatilhas especiais para locais úmidos e molhados. Ultra leves, flexíveis e não retêm água ou areia. Ideais para esportes aquáticos, pesca e praia.",static/uploads/AQURUN.JPG
129,CAMISA FUSIONX BRK COM CAPUZ E PROTEÇÃO SOLAR UV50+,BRK,BRK FISHING,Vestuário,199.9,"Camisa de alta performance com tecido XTech Pro® de toque gelado e secagem ultra rápida. Proteção solar UV50+ homologada. Punho com luva integrada, capuz e bandana.",static/uploads/FUSIONX.JPG
130,LOGO CAP,GRUPO WAKOKU / FLÓRIDA MARINE,JACKALL,Vestuário,442.0,Boné leve e moderno com aba em estrutura de colmeia. Logotipo emborrachado discreto e sofisticado.,static/uploads/LOGO-CAP.JPG
131,JIGGING GLOVES,GRUPO WAKOKU / FLÓRIDA MARINE,MAJOR CRAFT,Vestuário,280.0,"Luvas para pescaria de jigging e grandes espécies marinhas. Dorso em malha respirável, palma antiderrapante e reforço nos dedos para maior resistência.",static/uploads/JIGGING.JPG
132,CALÇA STRETCH,GRUPO WAKOKU / FLÓRIDA MARINE,BAIT,Vestuário,299.0,"Calça super leve e confortável, composta por 92% poliamida e 8% elastano. Bolsos com zíper e costura certificada OEKO TEX Standard 100.",static/uploads/STRECH.JPG
135,X PROTECTION 360,MAR NEGRO,MAR NEGRO,Vestuário,159.0,"Capuz, buff e punho luva integrados. Proteção UV50+, secagem rápida e costura reforçada. Composição de 90% poliamida e 10% elastano.",static/uploads/PROTECTION.JPG
136,NANOTECH POLYAMIDE TECHNOLOGY,PRESA VIVA,PRESA VIVA,Vestuário,0.0,Tecido com 80% poliamida e 20% elastano. Capuz e passante para os dedos. Proteção solar UV50+.,static/uploads/NANOTECH.JPG
137,GRAPHICLINE POLYAMIDE TECHNOLOGY,PRESA VIVA,PRESA VIVA,Vestuário,0.0,Camisa de manga longa com 80% poliamida e 20% elastano. Proteção UV50+ e texturas visuais exclusivas no tecido.,static/uploads/GRAPHICLINE.JPG
138,DRYFLEX TECHNOLOGY,PRESA VIVA,PRESA VIVA,Vestuário,0.0,"Tecido Dry Flex com 92% poliéster e 8% elastano. Leve, elástico e confortável. Proteção UV50+, controle térmico e secagem rápida.",static/uploads/DRYFLEX.JPG
139,CAIXA PLANO V CRATE PARA CAIAQUE,PLANO,AQUABRAZIL,Acessórios de pesca,1559.0,"CAIXA PLANO COM DESIGN EXCLUSIVO PARA COLOCAR EM CAIAQUE. COM 4 ESTOJOS 23750, ALÇA PARA TRANSPORTE, SHAPE EM ?V?, BASE ELEVADA, DOIS SUPORTES PARA VARAS, DOIS LADOS DE ACESSO E AMPLO ESPAÇO CENTRAL INTERNO",static/uploads/V-CRATE.JPG
140,SONAR HUMMINBIRD XPLORE 12 CMSI+,HUMMINBIRD	,AQUABRAZIL	,Acessórios de pesca,38244.0,"SONAR HUMMINBID XPLORE 12, TELA REFLEX (VIDRO - PELÍCULA POLARIZADA), RESOLUÇÃO DE 1.280 X 800 PIXELS HD, GPS (BUILT-IN), TOUCHSCREEN E KEYPAD (BOTÕES), DUAL SPECTUM CHIRP, MDI+ (MEGA DOWN IMAGING), MSI+ (MEGA SIDE IMAGING), FREQUÊNCIA MEGA DE ATÉ 1.2 MHZ. PERMITE CONEXÃO ETHERNET E COM MOTORES ELÉTRICOS MINN KOTA",static/uploads/HUMMINBIRD-XPLORE.JPG
141,APOLUS LARGE FREESTYLE,BARCOS LEVEFORT,LEVEFORT,Embarcação / Caiaque,95000.0,"COMPRIMENTO: 06 METROS/ BOCA MÁXIMA: 1,90 METROS / OCUPANTES: 06 PESSOAS / CALADO: 0,11 M / MOTORIZAÇÃO: 75 A 115 HP.",static/uploads/APOLUS.jpg
142,MESA PORTATIL DOBRAVEL PRETA PARA CAMPING COM 2 BANQUETAS BEL,BEL,BEL FIX,Esporte Outdoor e Camping / Cutelaria,398.98,"TRANSFORME SUAS AVENTURAS AO AR LIVRE COM A MESA PORTÁTIL DOBRÁVEL DA BEL! PROJETADA PARA OFERECER MÁXIMA FUNCIONALIDADE, RESISTÊNCIA E ESTILO, ELA É PERFEITA PARA CAMPING, PIQUENIQUES, PRAIAS OU QUALQUER MOMENTO DE LAZER. ?? RESISTÊNCIA INCOMPARÁVEL: PÉS EM ALUMÍNIO QUE NÃO ENFERRUJAM E BANQUETAS LEVES E DURÁVEIS. ?? DESIGN PREMIUM: ACABAMENTO DE ALTA QUALIDADE COM UM VISUAL MODERNO E FUNCIONAL. ?? DIFERENCIAL EXCLUSIVO: FURAÇÃO PARA GUARDA-SOL, GARANTINDO CONFORTO EM QUALQUER AMBIENTE AO AR LIVRE. ?? FÁCIL DE USAR: COMPACTA, DOBRÁVEL E PRÁTICA PARA TRANSPORTAR E GUARDAR. LEVE A PRATICIDADE E O CONFORTO DA MESA PORTÁTIL DOBRÁVEL PARA TODOS OS SEUS MOMENTOS ESPECIAIS!",static/uploads/BEL-FIX.JPG
143,CHURRASQUEIRA PORTÁTIL TO GO COM ALÇA BEL,BEL,BEL FIX,Esporte Outdoor e Camping / Cutelaria,298.98,"A CHURRASQUEIRA TO GO DA BEL É PERFEITA PARA QUEM BUSCA FUNCIONALIDADE E ELEGÂNCIA. COMPACTA, PORTÁTIL E DOBRÁVEL, ELA É IDEAL PARA SEUS MOMENTOS DE LAZER, SEJA NO CAMPING, NA PRAIA OU NO QUINTAL DE CASA. ?? DESIGN ÚNICO E EXCLUSIVO BEL ? PRODUTO INOVADOR NO MERCADO. ?? ALÇA EM MADEIRA ? TOQUE DE SOFISTICAÇÃO E PRATICIDADE PARA TRANSPORTE. ?? FÁCIL MONTAGEM ? PRONTA PARA USO EM POUCOS MINUTOS. ?? PORTÁTIL E DOBRÁVEL ? MAIS LEVE E FÁCIL DE TRANSPORTAR, TRANSFORMANDO-SE EM UMA PRÁTICA MALETA. ?? GRELHA AJUSTÁVEL EM 3 NÍVEIS ? AJUSTE PERFEITO PARA ASSAR CARNES, VEGETAIS OU OUTROS ALIMENTOS. DIMENSÕES: ?? PRODUTO MONTADO: 50 X 30,5 X 28 CM ?? PRODUTO DESMONTADO: 50 X 28 X 7,6 CM ?? SUPORTE PARA CARVÃO REMOVÍVEL: 44 X 20,5 X 3,5 CM ?? PESO APROXIMADO: 3,28 KG POR QUE ESCOLHER A TO GO? LEVE, PRÁTICA E COM UM DESIGN MODERNO, A CHURRASQUEIRA TO GO FOI PENSADA PARA QUEM NÃO ABRE MÃO DE UM BOM CHURRASCO, MESMO EM LUGARES ONDE ESPAÇO E PRATICIDADE SÃO FUNDAMENTAIS.",static/uploads/CHURRASQUEIRA.jpg
144,ZION,FLORIDA MARINE	GRUPO WAKOKU,FLÓRIDA MARINE,Embarcação / Caiaque,130000.0,"IPLINAR COM EXPERTS DA ENGENHARIA NAVAL, MODELAÇÃO, CONSTRUÇÃO, NAVEGAÇÃO E PESCA, RESULTANDO EM UM BARCO INIGUALÁVEL. VOLTADO PARA A ALTA PERFORMANCE, O ZION VEM PARA TRANSFORMAR O MERCADO DE BASS BOAT, SEM LIMITES PARA OS SEUS SONHOS.",static/uploads/ZION.JPG
154,BANQUETA PARA PESCA RELAX,MARIA PESCA,MARIA PESCA,Acessórios de pesca,120.0,"BANQUETA RELAX DA MARIA PESCA DIMENÇÃO ALTURA : 70CM LARGURA: 40CM COMPRIMENTO: 43CM FABRICADA EM FERRO 7/8 PAREDE 1,06 PINTURA EPOXI ACENTO E ENCOSTO EM PVC SAPATA DE PROTEÇÃO",static/uploads/BANQUETA_RELAX.JPG
158,Hover Bag,Bait Fishing,GRUPO WAKOKU / FLÓRIDA MARINE,Acessórios náuticos,0.0,"Bolsa para acompanhar suas viagens! Trata-se de bolsa estanque que pode ser utilizada como mochila, utilizando as alças embutidas na sua base. Ela vem com frontal com zíper, separada do compartimento principal e de fácil acesso - ideal para armazenar itens compactos de primeira necessidade. Também tem bolso identificado para o celular e seus dados, porta-copo e puxador na parte interna. No interior, vem com um pequeno bolso especialmente idealizado para colocar o seu mini rastreador (GPS ou Bluetooth). Além disso, possui sistema de compressão de volume, para você compactar e carregar de forma simples. Seu corpo emborrachado é impermeável e de fácil limpeza. Conta também com alças de engate rápido para fixar a bolsa em Jet Ski, barcos, pranchas e etc. Benefícios da Hover Bag: Ela é muito prática e facilita o seu transporte em qualquer viagem ou aventura. Caso seja necessário, basta retirar o ar interno.",static/uploads/Hover-bag.JPG
159,Red Pepper Junior,Tiemco,GRUPO WAKOKU / FLÓRIDA MARINE,Isca de Corpo Rígido,180.0,"Sucesso em todas as pescarias! A Red Pepper Jr é um stick deal para os momentos em que o predador está extremamente manhoso, pois proporciona uma apresentação mais natural. Essa isca de 10cm, pesa 9g e é excelente para um trabalho mais cadenciado, dando toques para a isca fazer barulho na superfície",static/uploads/Pepper.JPG
160,Jigpara Long Slow,Major Craft,GRUPO WAKOKU / FLÓRIDA MARINE,Isca para Água Salgada,170.0,"Essa artificial tem um detalhe bastante interessante. Por ela ser longa e fina, quando a usamos em lugares profundos, consegue chegar mais rápido ao fundo, sem que seja levada para longe pelas correntes. Possui dois lados diferentes, sendo que um é uniforme e o oposto existe quilha ao longo jig, proporcionando um trabalho especial. Já, na hora do trabalho, o jig tende a deslocar lateralmente. Vale lembrar que o acabamento dos jumping jigs da Major Craft são incríveis, com cores vivas e bastante resistentes, por causa das seis camadas de verniz.",static/uploads/Jigpara.JPG
162,COLETE AUTO-INFLÁVEL BALTIC MODELO WINNER HARNESS 165N,BALTIC,AQUABRAZIL,Acessórios náuticos,1480.0,"Colete de flutuação auto-inflável Baltic Winner Harness 165N. Material extra forte, super anatômico. Arnês de segurança. Cinto ajustável. Certificação ISO 12402-6. Cilindro de CO2. Capacidade: 40-150 kg.",static/uploads/BALTIC.JPG
163,SUPORTE PARA 3 VARAS BARCO BASS BOAT REGULÁVEL,"HP PESCA, MOTO, NÁUTICA",HP MOTONÁUTICA,Acessórios náuticos,449.0,"Aumente sua eficiência e organização na pesca com nosso suporte para 3 varas barco Bass Boat regulável. Ideal para lanchas, barcos, caiaques, botes e stand up. Sistema escamoteável prático, que permite regular o suporte em vários ângulos. Possui rebaixamento para encaixe ideal de varas com molinete ou carretilha.",static/uploads/BASS-BOAT.JPG
164,BATERIA DE LÍTIO LIFEPO4 ROYPOW 36V 100AMP,ROYPOW,ISCAS YARA,Acessórios náuticos,179.9,"Óculos Polarizado Yara Dark Vision modelo C2407, desenvolvido em parceria com o grande pescador Cadu. Projetado para otimizar a visualização dos peixes em seu habitat natural, sem abrir mão do conforto e estilo. Lentes polarizadas TAC (Tri Acetato de Celulose) com proteção UV 400 que bloqueiam raios UVA/UVB.",static/uploads/LITIO-ROYPOW.JPG
165,BOLSA M-BP25,MARINE,MARINE,Acessórios de pesca,519.0,"Bolsa de pesca com fundo rígido e impermeável. Possui alça removível, zíperes reforçados e diversos compartimentos para acessórios. Capacidade: 25 litros. Dimensões: 30x50x30 cm. Acompanha 5 caixas multiuso. Disponível também para venda sem caixas multiuso e em tamanhos menores (15 e 20 litros).",static/uploads/M-BP25.JPG
166,KASTKING BRUTUS RED (PASSAGUÁ),KASTKING,KASTKING,Acessórios de pesca,0.0,"Rede de pouso dobrável Kastking Brutus com gancho para barco. Dobrável, expansível, leve e forte. Gancho multifuncional integrado para barco. Alça TPR laranja brilhante e antiderrapante. Large Color Red de PVC. Material: alumínio. Peso: 2,09 libras.",static/uploads/KASTKING.BRUTUS.JPG
167,FIXADOR HÍBRIDO DE CARBONO E TITÂNIO (TC-FBCSK13),FUJI,MORO DECONTO/FUJI,Acessórios de pesca,599.99,"Os fixadores TCH (Titanium Carbon Hybrid) de última geração, moldados em polímero com fibra de carbono e titânio. Apresentam alta resistência, rigidez e zero corrosão. Além da leveza, elevam a fixação da carretilha a um novo nível de conforto, sensibilidade e potência.",static/uploads/TC-FBCSK13.JPG
168,ÓCULOS POLARIZADO YARA DARK VISION,Yara Iscas Artificiais,ISCAS YARA,Acessórios de pesca,179.9,"Óculos polarizado Yara Dark Vision modelo C2407, desenvolvido em parceria com o grande pescador Cadu, foi projetado para otimizar a visualização dos peixes em seu habitat natural, sem abrir mão do conforto e estilo durante a pescaria. Suas lentes polarizadas TAC (Tri Acetato de Celulose) possuem proteção UV 400 que bloqueiam os raios UVA / UVB.",static/uploads/YARA-DARK.JPG
169,J-BRAID EXPEDITION X8,DAIWA,MARINE,Linha,249.9,"Made in Japan Tecnologia Silicon Coating: proporciona durabilidade e maciez, já que o revestimento confere propriedades hidrofóbicas a linha 8 fios são trançados de maneira muito forte e precisa, o que previne que a linha se separe e se desgaste durante o uso Disponível em 150m e 300m DARK GREEN. De 15lb a 90lb.",static/uploads/J-BRAID.JPG
171,Swing Impact,Keitech,GRUPO WAKOKU / FLÓRIDA MARINE,Isca Soft,57.0,"Este não é um shad qualquer. Quando ele nada, o corpo inteiro se movimenta, tornando os movimentos mais naturais. Ele pode ser usado apenas com o anzol (lastreado ou não), no Texas Rig, Down Shot, jig head, como trailer de rubber jig, entre outras montagens. Já que possui diversos tamanhos. É uma ótima opção de isca para conseguir cobrir grandes áreas em menor tempo, além de ser muito produtivo durante todo o ano. O Swing Impact ainda é feito com material macio, impregnado com forte essência de lula. O corpo anelado que ainda serve para proteger a ponta do anzol.",static/uploads/Swing.JPG
