NOME;MARCA;EXPOSITOR;CATEGORIA;VALOR;FICHA TÉCNICA;FOTO;;;
CARRETILHA SEVIIN ST CROIX GF SERIES;AQUABRAZIL;SEVIIN - ST. CROIX;CARRETILHA;R$ 1.288,00;CARRETILHA SEVIIN GF SERIES, 5 ROLAMENTOS (4 +1) DE AÇO INOX, COROA/PINHÃO DE LATÃO, CHASSI/TAMPA EM GRAFITE DE PEÇA ÚNICA, MANIVELA DE CARBONO, CARRETEL DE ALUMÍNIO, DRAG (FREIO) DE 15LBS (6,8 KG) MULTI-SLACK EM FIBRA DE CARBONO/AÇO INOX, GEAR RATIO (VELOCIDADE) 8.1:1, CONTR. MAGNÉTICO DE ARREMESSO MICRO AJUSTÁVEL, DISCO INDICADOR DE LINHA E 207G;CROIX_GF.JPG;;;
CARRETILHA (SPEED DEMON ELITE);KASTKING;KASTKING;CARRETILHA;R$;- CARRETILHA DE PESCA MAIS RÁPIDA DO MERCADO! VELOCIDADE DE RECOLHIMENTO: 10.5:1 ? DRAG DE 17,6LB | 8KG ? SISTEMA DE FRICÇÃO MULTIDISCOS DE CARBONO ? PESO: 190G ? CAPACIDADE DE LINHA: 150M DE 0.25MM / 105M DE 0.30MM ? ENGRENAGEM EM ALUMÍNIO 7075 AEROESPACIAL SUPER REFORÇADO ? PINHÃO EM LATÃO COM MANGANÊS DE ALTA RESISTÊNCIA ? 10 + 1 ROLAMENTOS EM AÇO INÓX ? POSSUI GUIA DE LINHA CÔNICO REVESTIDO EM CERÂMICA ? CORPO EM ALUMÍNIO AEROESPACIAL CNC ? FREIO CENTRÍFUGO E CONTROLE DE TENSÃO DO CARRETEL.;DEMON_ELITE.JPG;;;
VENATOR ACX;MARINE;MARINE;CARRETILHA;R$ 1.149,00;CHASSI EM ALUMÍNIO E LATERAIS EM CARBONO. PINHÃO EM LATÃO APOIADO POR ROLAMENTO. COROA EM DURALUMÍNIO. GUIA DE LINHA REVESTIDO EM TITÂNIO COM 2 ESTÁGIOS. BOTÕES DE AJUSTE E ESTRELA PONTO A PONTO. SISTEMA DE CONTROLE DE ARREMESSO MAGLEV. ROLAMENTOS 10+1. VELOCIDADE DE RECOLHIMENTO 8.3:1. IPT 88CM. HOOK HOLDER SINAL SONORO DE SAÍDA DE LINHA. DRAG7KG;VENATOR-ACX.JPG;;;
LANCHA NAVIS 650X;BARCOS RONDON;BARCOS E CARRETAS RONDON;EMBARCAÇÃO / CAIAQUE;R$ 115.800,00;CAPACIDADE DE CARGA 550 KG NÚMERO DE TRIPULANTES 01 NÚMERO DE PASSAGEIROS 06 PESO APROXIMADO 600 KG MOTORIZAÇÃO 175 - 300 HP COMPRIMENTO DO BARCO 6.50 M BOCA MÁXIMA 2.30 M PONTAL 0.78 M CALADO 0.15 M ESPESSURA DO COSTADO 2.0 MM ESPESSURA DO CASCO 3.0;650X.JPG;;;
ROVERCAT 190;MURANO;MURANO YACHTS;EMBARCAÇÃO / CAIAQUE;R$ 189.900,00;LANCHA, CASCO CATAMARÃ MONOMOTOR DE 19 PÉS, FABRICADA EM FIBRA DE VIDRO. UNICA LANCHA NA SUA CATEGORIA DESENVOLVIDA ESPECIALMENTE PARA PRATICA DA PESCA COM CAIXAS DE PEIXE, CAIXAS DE ISCA VIVA, CIRCULAÇÃO 360º E CONSOLE CENTRAL. IDEAL PARA PESCA, MERGULHO E LAZER NO MAR, RIOS E REPRESAS.;ROVERCAT.JPG;;;
CAMA DOBRAVEL ZDC-182;ALBATROZ;ALBATROZ FISHING;ESPORTE OUTDOOR E CAMPING / CUTELARIA;R$ 450,00;DOVRÁVEL E EXTREMAMENTE FÁCIL DE MONTAR | TECIDO REFORÇADO EM OXFORD 6000 | PESO DO PRODUTO: 3,6KG | DISTÂNCIA DO CHÃO DO ASSENTO: 30CM | TAMANHO: 182X60CM | MATERIAL:TECIDO OXFORD 600D, FERRO, POLITILENO | RESISTÊNCIA: 150KG | TAM.TUBO: 25MM, ESPESSURA DE 0,7MM;ZDC-182.JPG;;;
CANIVETE CIMO COLOMBO INOX CABO FIBRA CARB C/CLIP;CIMO;CUTELARIA CIMO;ESPORTE OUTDOOR E CAMPING / CUTELARIA;R$ 147,90;COMEÇANDO COM A LÂMINA, O CANIVETE COLOMBO POSSUI UMA LÂMINA DE AÇO INOX 420C RESISTENTE DE 2,5MM, COM PERFIL CLIP POINT . O ACABAMENTO STONE WASHED, PRODUZIDO POR UM MODERNO PROCESSO DE CORTE A LASER, TRAZ UMA BELEZA ÚNICA E RESISTÊNCIA INCOMPARÁVEL, DESTACANDO O CANIVETE INOX NO UNIVERSO DA CUTELARIA.;FIBRA-CARB.JPG;;;
FOGAREIRO DESMONTAVEL CIMO INOXFIRE 12 COM BAG VDE;CIMO;CUTELARIA CIMO;ESPORTE OUTDOOR E CAMPING / CUTELARIA;R$ 90,59;MATERIAL PREMIUM: FABRICADO EM AÇO INOX DE ALTA QUALIDADE, COM CERTIFICAÇÃO QUE ASSEGURA SUA DURABILIDADE E RESISTÊNCIA. LEVE E COMPACTO: COM PESO DE APENAS 528 GRAMAS, É FÁCIL DE TRANSPORTAR E NÃO ADICIONA PESO DESNECESSÁRIO À SUA MOCHILA OU BAGAGEM. DIMENSÕES IDEAIS: QUANDO MONTADO, POSSUI AS MEDIDAS C: 13,2 X L14,0 X A 15,5 CM. DESMONTADO E ACONDICIONADO NA BOLSA, FICA COM DIMENSÕES DE 16 X 15 X 1 CM. DESIGN EXCLUSIVO CIMO: CORTADO A LASER PARA GARANTIR PRECISÃO IMPECÁVEL NA MONTAGEM, POSSUI UM DESIGN CONTEMPORÂNEO QUE COMBINA COM QUALQUER AMBIENTE. BOLSA DE TRANSPORTE DE QUALIDADE: ACOMPANHA UMA BOLSA ROBUSTA FABRICADA EM NYLON 600, ASSEGURANDO PROTEÇÃO E FACILIDADE NO TRANSPORTE DO SEU FOGAREIRO. DUAS VARIAÇÕES DE USO: CHAPA PARA USO COM A CHAMA FECHADA E AQUECIMENTO E ATÉ MESMO GRELHAR, E OPÇÃO DE CHAMA ABERTA PARA USO COM PANELAS OU ATÉ MESMO CHURRASCO.;INOXFIRE.JPG;;;
CONJUNTO CIMO TRAVEL VERDE POINT CLEAVER - DUPLO;CIMO;CUTELARIA CIMO;ESPORTE OUTDOOR E CAMPING / CUTELARIA;R$ 108,65;BAG DE TRANSPORTE EXCLUSIVA: FABRICADA EM NYLON 600, NA VERSÃO VERDE, GARANTINDO PROTEÇÃO E PRATICIDADE NO TRANSPORTE DE SEU KIT, ALIADO AO FECHAMENTO COM A FIVELA EM AÇO INOX CIMO. MADEIRA CERTIFICADA FSC® : FOREST STEWARDSHIP COUNCIL® TÁBUA SLIM EM JATOBÁ: CORTADA POR UM PROCESSO COMPUTADORIZADO, ESTA TÁBUA É FEITA DE UMA PEÇA ÚNICA DE JATOBÁ, SEM EMENDAS, TRAZENDO ELEGÂNCIA E DURABILIDADE. FACA CLEAVER DE ALTO DESEMPENHO: FABRICADA EM AÇO INOX E COM PERFIL CLEAVER, ESTA FACA ULTRA LEVE TEM UM ACABAMENTO STONE WASHED, IDEAL PARA CORTES PRECISOS E RÁPIDOS. GARFO MULTIFUNCIONAL: ALÉM DE SER TEMPERADO, ESTE GARFO VEM COM UM ABRIDOR DE GARRAFAS EMBUTIDO, TORNANDO-O UMA FERRAMENTA ESSENCIAL PARA QUALQUER AVENTURA. FACA CLIP POINT DE ALTO DESEMPENHO: FABRICADA EM AÇO INOX E COM PERFIL CLIP POINT, ESTA FACA ULTRA LEVE TEM UM ACABAMENTO STONE WASHED, IDEAL PARA CORTES PRECISOS E RÁPIDOS. DESIGN INTUITIVO E ELEGANTE: PENSADO PARA SER LEVE E FÁCIL DE USAR, CADA COMPONENTE DESTE KIT É UMA PROVA DO COMPROMISSO DA CUTELARIA CIMO COM A EXCELÊNCIA.;CLEAVER.JPG;;;
CHURRASQUEIRA DESMONTAVEL CIMO INOX TRAVEL COM BAG;CIMO;CUTELARIA CIMO;ESPORTE OUTDOOR E CAMPING / CUTELARIA;R$ 578,64;PESO: 3,4 KG LARGURA: 32 CM COMPRIMENTO: 23 CM ALTURA: 18 CM ÁREA DE GRELHA: 30 X 21,5 CM MATERIAL: AÇO INOX 100% POTÊNCIA: 8500 BTU/H SISTEMA DE VÁLVULA DE SEGURANÇA E ROSCA EN 417:2012;INOX-TRAVEL.JPG;;;
LEATHERMAN ARC;CROSSTER;LEATHERMAN;ESPORTE OUTDOOR E CAMPING / CUTELARIA;R$ 2.421,71;O LEATHERMAN ARC É A PRIMEIRA MULTIFERRAMENTA A INCLUIR O AÇO PREMIUM MAGNACUT. SUA LÂMINA PRINCIPAL É FEITA DE AÇO CPM MAGNACUT QUE MANTÉM O FIO POR MUITO MAIS TEMPO E SE DESTACA EM RESISTÊNCIA À CORROSÃO, TENACIDADE E FACILIDADE DE AFIAÇÃO. O RESULTADO É UMA LÂMINA PERFEITA PARA TAREFAS DIÁRIAS E TAMBÉM PARA OS AMBIENTES MAIS ADVERSOS. O REVESTI 20 FERRAMENTAS LÂMINA EM AÇO CPM MAGNACUT ALICATE DE PONTA FINA ALICATE REGULAR DRIVER DE BITS GRANDE LIMA REVESTIDA DE DIAMANTES DRIVER DE BITS PEQUENO LIMA DE MADEIRA/METAL FERRAMENTA DE ALAVANCA CORTADORES DE FIO SUBSTITUÍVEIS PREMIUM CORTADORES DE FIO RÍGIDO SUBSTITUÍVEIS PREMIUM SUPERFÍCIE DE IMPACTO CHAVE DE FENDA GRANDE ABRIDOR DE GARRAFA ABRIDOR DE LATA SOVELA (FURADOR) TESOURA COM AÇÃO DE MOLA SERRA DESCASCADOR DE FIOS CRIMPADOR ELÉTRICO LIMA DE BORDA;LEATHERMAN.JPG;;;
LAREIRA / CHURRASQUEIRA MULTI-FUNCIONAL PETROMAX ATAGO;CROSSTER;PETROMAX;ESPORTE OUTDOOR E CAMPING / CUTELARIA;R$ 2.096,21;"COMPACTO E PORTÁTIL COMBINA GRELHA, FOGÃO, FORNO E LAREIRA / FIRE-PIT COMPÁTIVEL COM CARVÃO, BRIQUETES E LENHA AQUECIMENTO EFICAZ PELO ""EFEITO CHAMINÉ"" FOGO COM POUCA FUMAÇA GRAÇAS AO DESIGN DE PAREDE DUPLA E SISTEMA DE COMBUSTÃO SECUNDÁRIA";PETROMAX.JPG;;;
BARRACA SEA TO SUMMIT IKOS LIGHTWEIGHT TR2;CROSSTER;SEA TO SUMMIT;ESPORTE OUTDOOR E CAMPING / CUTELARIA;R$ 3.634,43;IDEAL PARA DUAS PESSOAS A ARQUITETURA TENSION RIDGE ENTREGA UMA PROPORÇÃO SUPERIOR DE ÁREA ÚTIL X PESO DO QUE BARRACAS SIMILARES, OFERECENDO MUITO MAIS ESPAÇO AO REDOR DA CABEÇA E OMBROS O TENSION RIDGE PERMITE AMPLA VENTILAÇÃO NO PONTO MAIS ALTO DA BARRACA, AJUDANDO A MINIMIZAR O ACÚMULO DE CONDENSAÇÃO. AO CONTRÁRIO DA MAIORIA DOS DESIGNS DE VENTILAÇÃO, O APEX VENT NÃO REQUER UM PAINEL DE TELA PARA MANTER A TENSÃO ATRAVÉS DO SOBRE-TETO - PERMITINDO ATÉ 70% MAIS FLUXO DE AR, SEM RESTRIÇÕES PELA TELA BASELINE VENTS PERMITEM CONTROLAR O FLUXO DE AR E GERENCIAR A UMIDADE E A CONDENSAÇÃO EM CONDIÇÕES ÚMIDAS SEM DEIXAR A CHUVA ENTRAR MÚLTIPLAS OPÇÕES DE CONFIGURAÇÃO SIGNIFICAM QUE AS BARRACAS SÃO CAPAZES DE SE ADAPTAR AO CLIMA OU À SUA ATIVIDADE O SOBRE-TETO PODE SER MONTADO PRIMEIRO, GARANTINDO QUE O INTERIOR SE MANTENHA SECO DURANTE O PROCESSO DE MONTAGEM E DESMONTAGEM OS PAINÉIS INTERNOS DE MALHA SÃO PROJETADOS PARA PERMITIR O MAIOR FLUXO DE AR MANTENDO SIMULTANEAMENTE PROTEÇÃO CONTRA INSETOS PEQUENOS, COMO MOSQUITOS E MOSCAS DE AREIA;TR2.JPG;;;
PANELA DOBRÁVEL SEA TO SUMMIT FRONTIER UL COLLAPSIBLE POURING POT 2L AZUL;CROSSTER;SEA TO SUMMIT;ESPORTE OUTDOOR E CAMPING / CUTELARIA;R$ 603,56;"DESIGN COLAPSÁVEL QUE ECONOMIZA ESPAÇO, EXPANDINDO-SE PARA SE TORNAR UMA PANELA DE 2,2 L BASE EM ALUMÍNIO LIGA LEVE DE ANODIZAÇÃO DURA QUE GARANTE EXCELENTE TRANSFERÊNCIA DE CALOR CABO CLICK-SAFE PERMITE MANUSEIO SEGURO; SERVE COMO TRAVA PARA A TAMPA E O CONTEÚDO DA CAÇAROLA DURANTE O TRANSPORTE FABRICADO COM MATERIAIS ATÓXICOS TECNOLOGIA LIDKEEP PERMITE QUE A TAMPA SEJA PRESA NA LATERAL DA PANELA PROJETADO PARA SE ENCAIXAR COM UTENSÍLIOS DA LINHA FRONTIER O AMPLO ESPAÇO ENTRE A BASE E AS LATERAIS DA PANELA FACILITA O MANUSEIO DOS ALIMENTOS - MEXER E VIRAR A COMIDA DENTRO DA PANELA NUNCA FOI TÃO FÁCIL! PROJETADO PARA ENCAIXAR PERFEITAMENTE COM AS COLHERES DA SEA TO SUMMIT";COLLAPSIBLE.JPG;;;
CHALEIRA COLAPSÁVEL SEA TO SUMMIT FRONTIER ULTRALIGHT;CROSSTER;SEA TO SUMMIT;ESPORTE OUTDOOR E CAMPING / CUTELARIA;R$ 458,48;CHALEIRA COLAPSÁVEL ULTRALEVE COM CAPACIDADE DE 1,1 L IDEAL PARA PEQUENAS AVENTURAS CASO DESEJE COZINHAR, TAMBÉM PODE SER USADO COMO PANELA PEQUENA APRESENTA BASE E TAMPA EM ALUMÍNIO ANODIZADO COM PEGADOR DE SILICONE EMBORRACHADO ALÇAS DUPLAS EM NYLON REFORÇADO COM FIBRA DE VIDRO PROPORCIONAM MAIOR CONTROLE AO DESPEJAR FABRICADO COM SILICONE ATÓXICO E ALUMÍNIO, RESULTANDO EM UM PRODUTO LEVE E DURÁVEL A BASE EM ALUMÍNIO ANODIZADO GARANTE EXCELENTE TRANSFERÊNCIA DE CALOR, PREVENINDO HOT SPOTS;ULTRALIGHT.JPG;;;
HOLOFOTE PORTÁTIL LEDLENSER AF4R WORK;CROSSTER;LEDLENSER;ESPORTE OUTDOOR E CAMPING / CUTELARIA;R$ 1.515,89;REFLETOR DE ALTA POTÊNCIA COM 2000 LUMENS, 5 NÍVEIS DE BRILHO E LUZ AJUSTÁVEL EM 5 ETAPAS TECNOLOGIA MULTI-CONCENTRATED LIGHT OFERECE ILUMINAÇÃO DIRECIONADA EFICIENTE, MÁXIMA ILUMINAÇÃO E REDUZ O OFUSCAMENTO FUNCIONAMENTO HÍBRIDO: UTILIZE COM BATERIA OU COM A FONTE DE ENERGIA ELÉTRICA INCLUSA CORPO EM ALUMÍNIO ROBUSTO E ALTA PROTEÇÃO CONTRA ÁGUA E POEIRA (IP67) COMPATÍVEL COM BLUETOOTH, PODE USAR CONTROLE VENDIDO SEPARADAMENTE;LEDLENSER.JPG;;;
LAMPIÃO LED FEUERHAND BABY SPECIAL 276 AZUL;CROSSTER;FEUERHAND;ESPORTE OUTDOOR E CAMPING / CUTELARIA;R$ 707,72;LANTERNA LED FEUERHAND COM VISUAL ATEMPORAL PODEROSA: LED BRANCO QUENTE COM FLUXO LUMINOSO DE 150 LM ACONCHEGANTE: LED DIMERIZÁVEL (2-150 LM) VERSÁTIL: ILUMINAÇÃO AMBIENTE PARA ÁREAS INTERNAS E EXTERNAS A QUALQUER HORA EFICIENTE: AUTONOMIA DE ILUMINAÇÃO DE ATÉ 18 DIAS DESIGN E CORES PARA QUALQUER AMBIENTE FABRICADO DA ALEMANHA;FEUERHAND.JPG;;;
COOLER BOX THERMO PREMIUM 20 LITROS ? SEA HORSE;HP MOTONÁUTICA;HP PESCA, MOTO, NÁUTICA;ESPORTE OUTDOOR E CAMPING / CUTELARIA;R$ 669,00;O COOLER BOX THERMO-PREMIUM SEA HORSE É A MAIOR INOVAÇÃO DO MERCADO DE CAIXAS TÉRMICAS PORTÁTEIS. POSSUI UM ISOLAMENTO TÉRMICO EXTRA. SUA ABERTURA DE BOCA E O RESISTENTE LEAK PROOF ZIPPER FACILITAM O CARREGAMENTO E O ACESSO A ALIMENTOS E BEBIDAS, AUMENTANDO A DURABILIDADE E O PODER DE RETENÇÃO DA TEMPERATURA. O ISOLAMENTO TÉRMICO EXCLUSIVO, OFERECE UM INCRÍVEL PODER DE PRESERVAÇÃO DE GELO E SUPERA EM MUITO OS COOLERS E CAIXAS COMUNS. RESISTENTE AO TRANSPORTE DO DIA A DIA. NÃO GERA UMIDADE NA PARTE EXTERNA. LEVE, DURÁVEL E COM COSTURAS E EMENDAS SOLDADAS POR RADIOFREQUÊNCIA QUE CRIAM UMA VEDAÇÃO IMPERMEÁVEL EXTRA FORTE. **RESISTÊNCIA AO DESGASTE E MATERIAL À PROVA DE ÁGUA **FORRO DE QUALIDADE ALIMENTAR **RESFRIAMENTO ATÉ 72 HORAS **SISTEMA DE ALÇA DE OMBRO AJUSTÁVEL E REFORÇADA **ESPUMA DE ISOLAMENTO DE ALTA DENSIDADE **SISTEMA DE ISOLAMENTO COM 5 CAMADAS MATERIAL: NYLON + TPU* + LAPRENE EXPANDIDO CAPACIDADE: 20 LITROS MEDIDAS EXTERNAS: 41 X 28 X 31 (COMPRIMENTO X ALTURA X LARGURA) * POLIURETANO TERMOPLÁSTICO É FREQUENTEMENTE ABREVIADO COMO TPU. É UM ELASTÔMERO TERMOPLÁSTICO PROCESSÁVEL POR FUSÃO. ELE TEM AS CARACTERÍSTICAS TANTO DO PLÁSTICO QUANTO DA BORRACHA. ASSIM, ELE EXIBE PROPRIEDADES COMO DURABILIDADE, FLEXIBILIDADE E EXCELENTE RESISTÊNCIA À TRAÇÃO.;COOLER-BOX.JPG;;;
GUARDA-SOL TIPO OMBRELONE VALÊNCIA AZUL;KALA;KALA;ESPORTE OUTDOOR E CAMPING / CUTELARIA;R$ 271,99;A SOLUÇÃO IDEAL PARA UMA PROTEÇÃO SOLAR EFICIENTE, ESTE GUARDA-SOL TEM DESIGN ELEGANTE E É FÁCIL DE MANUSEAR. PESANDO 3,2 KG E COM 2,20 M DE ALTURA E 2,40 DE ENVERGADURA, BLOQUEIA ACIMA DE 98% DA RADIAÇÃO ULTRAVIOLETA (FPS: UV 50+). É IDEAL PARA GARANTIR MOMENTOS CONFORTÁVEIS E AGRADÁVEIS AO AR LIVRE SOB O SOL, INCLUINDO PASSEIOS NA PRAIA E EXPERIÊNCIAS EM PISCINA OU CAMPING.;OMBRELONE.JPG;;;
FOGAREIRO SLIM DOBRÁVEL AZUL A GÁS;KALA;KALA;ESPORTE OUTDOOR E CAMPING / CUTELARIA;R$ 319,90;PERFEITO PARA PIQUENIQUES, ACAMPAMENTOS E OUTRAS EXPERIÊNCIAS CULINÁRIAS AO AR LIVRE, TEM UM POTENTE QUEIMADOR A GÁS QUE AJUDA A POUPAR TEMPO E RECURSOS. ALÉM DE CONTAR COM IGNIÇÃO AUTOMÁTICA E AJUSTE FINO DE CHAMA, POSSUI 2.600 W DE POTÊNCIA E SUAS DIMENSÕES SÃO: 275 MM X 325 MM X 100 MM (ABERTO) E 250 MM X 83 MM X 110 MM (FECHADO). PORTANTO, É UM FOGAREIRO COMPACTO, EFICIENTE E FÁCIL DE USAR E LIMPAR.;FOGAREIRO.JPG;;;
BARRACA NÔMADE 4/5 PESSOAS;KALA;KALA;ESPORTE OUTDOOR E CAMPING / CUTELARIA;R$ 859,90;INDICADA PARA ACAMPAMENTOS E OUTRAS AVENTURAS AO AR LIVRE, ESTA BARRACA DE ESTRUTURA REFORÇADA É PRODUZIDA COM MATERIAL DE ALTA QUALIDADE E DURABILIDADE. SUAS DIMENSÕES SÃO DE 2,35 M (C), 2,35 M (L) E 1,45 M (A), O QUE PROPORCIONA BASTANTE ESPAÇO E CONFORTO, COM CAPACIDADE PARA 4/5 PESSOAS. PESANDO 3,5 KG, É PRÁTICA E FÁCIL DE MONTAR, DESMONTAR E TRANSPORTAR.;BARRACA.JPG;;;
TÁBUA DE CORTE E SERVIR DUPLA FACE | TUCUNA;SOFTCUT;SOFTCUT;ESPORTE OUTDOOR E CAMPING / CUTELARIA;R$ 199,00;A LINHA SOFTCUT PESCA FOI DESENVOLVIDA PARA ENTUSIASTAS DA PESCA QUE BUSCAM UM PRODUTO VERSÁTIL E DE ALTA QUALIDADE. COM UM DESIGN EXCLUSIVO INSPIRADO NOS PRINCIPAIS PEIXES, CADA TÁBUA PROPORCIONA NÃO APENAS UMA SUPERFÍCIE DE CORTE EFICIENTE, MAS TAMBÉM UMA EXPERIÊNCIA ÚNICA NA HORA DE SERVIR. FEITA EM 100% POLIETILENO PURO E ATÓXICO, A SOFTCUT PESCA GARANTE SEGURANÇA ALIMENTAR, FACILIDADE DE HIGIENIZAÇÃO E DURABILIDADE. COM MICROTEXTURA INOVADORA, EVITA O DESLIZAMENTO DOS ALIMENTOS, TORNANDO O PREPARO E O CORTE MAIS SEGUROS. IDEAL TANTO PARA O PREPARO DO PESCADO QUANTO PARA SERVIR CHURRASCOS E PETISCOS, ELEVANDO A EXPERIÊNCIA NA MESA. ? DESTAQUES DA SOFTCUT PESCA: ? DESIGN EXCLUSIVO COM FORMATO DE PEIXES ICÔNICOS ? MICROTEXTURA SOFTCUT PARA MELHOR ADERÊNCIA DOS ALIMENTOS ? MATERIAL PURO, ATÓXICO E APROVADO PELA VIGILÂNCIA SANITÁRIA ? SUPERFÍCIE HIGIÊNICA QUE NÃO ABSORVE ODORES, RESÍDUOS OU LÍQUIDOS ? IDEAL PARA CORTES PRECISOS E APRESENTAÇÃO SOFISTICADA ? TRANSFORME SUA EXPERIÊNCIA NA PESCA E NO CHURRASCO COM A SOFTCUT PESCA!;TUCUNA.JPG;;;
ISCA WILLY SHAD;ALBATROZ;ALBATROZ FISHING;ISCA DE CORPO RÍGIDO;R$ 36,00;"MODELO: FLOATING; PROFUNDIDADE: FUNDO; TAMANHO: 4CM; PESO: 2,5G";WILLY.JPG;;;
ISCA REBEL JUMPIN MINNOW T20 ARARI - T20ARARI;AQUABRAZIL;REBEL;ISCA DE CORPO RÍGIDO;R$ 108,50;ISCA ARTIFICIAL REBEL DE 11,5 CM, 23 GRAMAS, ANZOL NÚMERO 2, PARA PESCA DE TUCUNARÉS, DOURADOS, CACHORRA, ENTRE OUTROS PREDADORES. COR ARARI, DESENVOLVIDA PELA AQUABRAZIL E PRODUZIDA PELA REBEL (USA);MINNOW.JPG;;;
ISCA REBEL TWICH TEENY WAKE R - T91 COR 524;AQUABRAZIL;REBEL;ISCA DE CORPO RÍGIDO;R$ 75,80;ISCA ARTIFICIAL REBEL DE 4 CM, 4,5 GRAMAS, ANZOL NÚMERO 12, PARA PESCA DE TILÁPIA, BLACK BASS, PIRAPUTANGA, MATRINXÃ, PACU, ENTRE OUTROS PREDADORES. COR 524 (BLACK / CHROME WING - PRETA / ASA PRATA), DESENVOLVIDA PELA AQUABRAZIL E PRODUZIDA PELA REBEL (USA);TEENY.JPG;;;
TEE BONE;GRUPO WAKOKU / FLÓRIDA MARINE;KEITECH;ISCA DE CORPO RÍGIDO;R$ 150,00;TRABALHO EXCEPCIONAL! O TEE-BONE FOI IDEALIZADO PARA FAZER O TRABALHO ?BÁSICO? DE UM SPINNERBAIT, MAS EM ALTA PERFORMANCE. ESSA ISCA PROPORCIONA BONS ARREMESSOS, O FORMATO DA CABEÇA EM T AJUDA A PASSAR PELOS OBSTÁCULOS E A MANTER A POSTURA DURANTE O NADO E O ANZOL É REFORÇADO E EXTREMAMENTE AFIADO DA MARCA DECOY. JÁ A LÂMINA RESPONDE AO MAIS SÚTIL MOVIMENTO. O ?CONE HEAD WEED GUARD? AJUDA A PROTEGER AS COLHERES DE SUJEIRA.;TEE-BONE.JPG;;;
PL 100 SPLASH;GRUPO WAKOKU / FLÓRIDA MARINE;BABYFACE;ISCA DE CORPO RÍGIDO;R$ 148,00;MÁQUINA PARA FISGAR TUCUNARÉS! ESTE LANÇAMENTO DA BABYFACE NASCEU FISGANDO GRANDES AÇUS EM UMA DAS TEMPORADAS MAIS DIFÍCEIS DE PESCA ? QUE FOI ANO PASSADO. TRATA-SE DE UMA JUMPING BAIT DE 11 CM, 22G QUE VEM EQUIPADA COM GARATEIAS REFORÇADAS 4X NÚMERO 2. É UMA ARTIFICIAL FÁCIL DE TRABALHAR, FAZENDO MOVIMENTOS EM ZIGUEZAGUE, MERGULHANDO E ATÉ SALTANDO PARA FORA DA ÁGUA, COMO UMA PRESA EM FUGA. PARA AUMENTAR O PODER DE ATRAÇÃO, POSSUI A PARTE FRONTAL MAIS LARGA PARA CRIAR UM MAIS DISTÚRBIO NA SUPERFÍCIE, FAZENDO BARULHO OU JOGANDO A ÁGUA PARA OS LADOS. PARA FINALIZAR, VALE RESSALTAR QUE A ISCA É SILENT, SEM RATTLING, O QUE AJUDA A PRODUZIR UMA AÇÃO MAIS NATURAL, IDEAL PARA LOCAIS COM GRANDE PRESSÃO DE PESCA.;PL100.JPG;;;
